provincia;altitud;indicativo idema;Nombre;Cercana;nombre;Temperatura mortal;indsinop;longitud EMET;latitud AEMET;lon Weatherbit;lat Weatherbit;Fecha inicio;Fecha fin;
ALICANTE;15;8050X;Javea;Denia;JÁVEA/ XÀBIA;35;8370;001004E;384701N;0.16667;38.783329;14/03/1997;31/12/2023;
ALICANTE;81;8025;Alicante;;ALACANT/ALICANTE;32.1;8359;002939W;382221N;-0.48149;38.345169;01/01/1948;31/12/2023;
ALICANTE;575;7247X;El Pinoso;;EL PINÓS/PINOSO;35.5;8357;010217W;382359N;-1.04024;38.4123;14/01/2004;31/12/2023;
ALICANTE;43;8019;Elche;;ALICANTE-ELCHE AEROPUERTO;32.1;8360;003415W;381658N;-0.70107;38.26218;01/01/1968;31/12/2023;El aeropuerto de Alicante est? en Elche
VALENCIA;5;8058X;Oliva;Gandia;OLIVA;33.5;8282;000545W;385544N;-0.11935;38.919708;06/06/1992;05/06/2022;
VALENCIA;12;8325X;Poli?a de Jucar;Cullera;POLINYÀ DE XÚQUER;33.5;8287;002219W;391105N;-0.37334;39.192478;01/01/1992;31/12/2023;
VALENCIA;758;8309X;Utiel;Requena;UTIEL;36.1;8281;011441W;393432N;-1.2;39.566669;31/01/1992;31/12/2023;
VALENCIA;56;8414A;Manises;;VALENCIA AEROPUERTO;34.7;8284;002829W;392906N;-0.46349;39.49139;01/01/1965;31/12/2023;El aeropuerto est? en Manises
VALENCIA;11;8416Y;Valencia;;VALÈNCIA, VIVEROS;34.7;8285;002159W;392850N;;;17/03/2005;31/12/2023;Es redundante con Valencia y Valencia aeropuerto
VALENCIA;11;8416;Valencia;;VALÈNCIA;34.7;8285;002159W;392850N;-0.37739;39.469749;01/01/1948;31/12/2023;
VALENCIA;88;8293X;Jativa;Onteniente;XÀTIVA;38.1;8290;003125W;390006N;-0.51667;38.98333;01/01/1992;31/12/2023;
CASTELLON;43;8500A;Castellon - Almazora;Castell?n;CASTELLÓ - ALMASSORA;32.1;8286;000419W;395726N;;;01/01/1976;31/12/2021;Sustituye a Castellon Plana
CASTELLON;23;8501;Castell?n de la Plana;Castell?n, Villareal;CASTELLÓ DE LA PLANA;32.1;;000156W;395921N;-0.03333;39.98333;01/01/1948;31/12/1975;Deja de funcionar en 1976
CASTELLON;1220;9563X;Castellfort;Villafranca;CASTELLFORT;29.9;8237;001112W;402955N;-0.19133;40.502079;01/01/1992;31/12/2023;
CASTELLON;1131;8489X;Villafranca del Cid;Castellfort;VILLAFRANCA DEL CID/VILLAFRANCA;29.9;8241;001521W;402600N;-0.25774;40.428848;21/02/2013;31/12/2023;
CASTELLON;111;8523X;Vinar?s;Benicarl?, Pe?iscola;VINARÒS;34.1;8239;002547E;403315N;0.47559;40.470329;01/01/1992;14/12/2020;
